Naziv usluge;Maloprodajna cijena (EUR);Posebni oblik prodaje;Naziv posebnog oblika prodaje;Sidrena cijena 10.9.2026. (EUR)
Estetska pedikura;28,00;Ne;;28,00
Estetska pedikura + lakiranje;30,00;Ne;;30,00
Estetska pedikura + trajni lak;37,00;Ne;;37,00
Medicinska pedikura 1. stupanj;30,00;Ne;;30,00
Medicinska pedikura 1. stupanj + lakiranje;33,00;Ne;;33,00
Medicinska pedikura 1. stupanj + trajni lak;45,00;Ne;;45,00
Medicinska pedikura 2. stupanj;35,00;Ne;;35,00
Medicinska pedikura 2. stupanj + lakiranje;38,00;Ne;;38,00
Medicinska pedikura 2. stupanj + trajni lak;50,00;Ne;;50,00
Trajni lak - noge;25,00;Ne;;25,00
Rekonstrukcija nokta;30,00;Ne;;30,00
Urasli nokat / kurje oko;20,00;Ne;;20,00
Rezanje noktiju;20,00;Ne;;20,00
LiftUp gel (palac);50,00;Ne;;50,00
LiftUp gel (mali prsti);10,00;Ne;;10,00
Masaža stopala (20 min);15,00;Ne;;15,00
Potkoljenice (pasta);25,00;Ne;;25,00
Bikini (pasta);17,00;Ne;;17,00
Pazuh (pasta);12,00;Ne;;12,00
Brazilka (pasta);22,00;Ne;;22,00
Nausnice (pasta);7,00;Ne;;7,00
Leđa (pasta);30,00;Ne;;30,00
Lice (pasta);12,00;Ne;;12,00
Brada (pasta);7,00;Ne;;7,00
Anticelulitni tretman;29,00;Ne;;29,00
Anticelulitna masaža;19,00;Ne;;19,00
Piling tijela;20,00;Ne;;20,00
Parafinska kupka;10,00;Ne;;10,00
Cijele noge + bikini;27,00;Ne;;27,00
Cijele noge;22,00;Ne;;22,00
Potkoljenice;12,00;Ne;;12,00
Natkoljenice;12,00;Ne;;12,00
Bikini;13,00;Ne;;13,00
Pazuh;8,00;Ne;;8,00
Ruke;10,00;Ne;;10,00
Brazilka;18,00;Ne;;18,00
Nausnice;5,00;Ne;;5,00
Leđa;20,00;Ne;;20,00
Lice;7,00;Ne;;7,00
Brada;5,00;Ne;;5,00
Poklon bon 10 EUR;10,00;Ne;;10,00
Poklon bon 20 EUR;20,00;Ne;;20,00
Manikura;15,00;Ne;;15,00
Manikura + lakiranje;17,00;Ne;;17,00
Lakiranje običnim lakom;5,00;Ne;;5,00
Skidanje trajnog laka (manikura);20,00;Ne;;20,00
French manikura;5,00;Ne;;5,00
Popravak nokta;5,00;Ne;;5,00
Skidanje tuđeg rada;7,00;Ne;;7,00
Masaža i piling dlanova;15,00;Ne;;15,00
Trajni lak - S dužina;25,00;Ne;;25,00
Trajni lak - M dužina;28,00;Ne;;28,00
Trajni lak - L dužina;32,00;Ne;;32,00
Korekcija obrva;6,00;Ne;;6,00
Korekcija obrva koncem;9,00;Ne;;9,00
Bojanje obrva;5,00;Ne;;5,00
Masaža lica;10,00;Ne;;10,00
Piling lica;15,00;Ne;;15,00
Njega lica;50,00;Ne;;50,00
Lash Lift;30,00;Ne;;30,00
Brow Lift;30,00;Ne;;30,00
Lash i Brow Lift (paket);50,00;Ne;;50,00
